case_id,ticket_id,expected_category,predicted_category,expected_priority,predicted_priority,expected_department,predicted_department,judge_pass,category_ok,priority_ok,department_ok,evidence_ok,source_ok,comment
case_001,199214,account_access,account_access,urgent,urgent,support_l2,support_l2,True,True,True,True,True,True,"All main decisions match expected, evidence quote is exact and supports, used sources are relevant."
case_002,166241,account_access,account_access,medium,medium,support_l2,support_l2,True,True,True,True,True,True,"All predicted values match expected, evidence is directly quoted from ticket."
case_003,122066,account_access,account_access,urgent,urgent,support_l2,support_l2,True,True,True,True,True,True,"All decision fields match expected, evidence is directly from ticket, and used sources are relevant."
case_004,112708,account_access,account_access,high,high,support_l2,support_l2,True,True,True,True,True,True,All expected fields match. Evidence is exact quote. Sources are relevant.
case_005,112186,account_access,account_access,medium,medium,support_l2,support_l2,True,True,True,True,True,True,"All criteria met. Prediction matches expected category, priority, department, evidence is directly from ticket, and sources are correct."
case_006,199186,billing_refund,billing_refund,low,low,billing_team,billing_team,True,True,True,True,True,True,All criteria met.
case_007,99213,billing_refund,billing_refund,urgent,urgent,billing_team,billing_team,True,True,True,True,True,True,"All criteria met: category, priority, and department match expected; evidence is quoted correctly; used sources are relevant."
case_008,101002,billing_refund,billing_refund,medium,medium,billing_team,billing_team,True,True,True,True,True,True,All predictions match expected values and evidence is directly from ticket.
case_009,129449,billing_refund,billing_refund,high,high,billing_team,billing_team,True,True,True,True,True,True,"Main decision matches expected, evidence is direct quote from ticket, and used sources are relevant."
case_010,199908,billing_refund,billing_refund,high,high,billing_team,billing_team,True,True,True,True,True,True,All decisions match expected. Evidence is direct quote. Used sources are relevant.
case_011,121291,subscription,subscription,high,high,support_l2,support_l2,True,True,True,True,True,True,"All fields match expected values, evidence is exact quote, used sources are relevant."
case_012,112229,subscription,subscription,high,high,support_l2,support_l2,True,True,True,True,True,True,All decisions match expected values and evidence is directly from ticket text.
case_013,119488,subscription,subscription,medium,medium,support_l2,support_l2,True,True,True,True,True,True,All expected fields match and evidence is properly grounded.
case_014,163481,subscription,subscription,urgent,urgent,support_l2,support_l2,True,True,True,True,True,True,All criteria met.
case_015,96674,subscription,subscription,medium,medium,support_l2,support_l2,True,True,True,True,True,True,Correct routing and evidence.
case_016,66990,technical_bug,technical_bug,high,high,technical_team,technical_team,True,True,True,True,True,True,All criteria satisfied.
case_017,36783,technical_bug,technical_bug,urgent,urgent,technical_team,technical_team,True,True,True,True,True,True,Prediction matches expected routing and evidence is directly quoted.
case_018,35766,technical_bug,technical_bug,low,low,technical_team,technical_team,True,True,True,True,True,True,"All criteria met: category, priority, department correct; evidence directly from ticket; used sources relevant."
case_019,153413,technical_bug,technical_bug,medium,medium,technical_team,technical_team,True,True,True,True,True,True,"All criteria met: category, priority, department match expected; evidence quote is exact from ticket; used sources are relevant."
case_020,3668,technical_bug,technical_bug,high,high,technical_team,technical_team,True,True,True,True,True,True,"Category, priority, department correct. Evidence is direct quote. Sources are relevant."
