ticket_id,product,raw_category,normalized_category,issue_description,resolution_notes,priority,normalized_priority,status,channel,region,subscription_type,previous_tickets,customer_satisfaction_score,first_response_time_hours,resolution_time_hours,escalated,sla_breached,issue_complexity_score,customer_segment,expected_department,expected_sources
122066,CRM Platform,Account Suspension,account_access,I am unable to access my account after entering the correct credentials.,Subscription status corrected and confirmation email sent to customer.,Urgent,urgent,Pending Customer,Social Media,South America,Enterprise,4,4,51.11,193.04,No,No,4,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
119884,Analytics Dashboard,Bug Report,account_access,Two-factor authentication codes are not being delivered to my phone.,Data synchronization restored after backend service restart.,High,high,Pending Customer,Phone,North America,Enterprise,4,4,9.82,50.43,Yes,No,2,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
199127,Analytics Dashboard,Refund Request,account_access,Two-factor authentication codes are not being delivered to my phone.,The issue was escalated to engineering and resolved in the latest patch.,Low,low,Pending Customer,Phone,North America,Free,15,5,53.05,149.91,Yes,No,9,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
94240,CRM Platform,Security Concern,account_access,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,Medium,medium,Open,Email,Australia,Basic,4,3,64.83,142.91,No,Yes,1,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
105022,E-commerce Store,Bug Report,account_access,I am unable to access my account after entering the correct credentials.,Payment gateway timeout issue fixed and monitoring implemented.,Urgent,urgent,Closed,Social Media,North America,Free,1,4,9.06,119.87,Yes,No,7,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
92448,Payment Gateway,Feature Request,account_access,I am unable to access my account after entering the correct credentials.,The issue was escalated to engineering and resolved in the latest patch.,Low,low,Pending Customer,Chat,Africa,Enterprise,13,5,14.59,215.44,No,No,3,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md']"
187925,Cloud Storage,Data Sync Issue,account_access,I am unable to access my account after entering the correct credentials.,Payment gateway timeout issue fixed and monitoring implemented.,High,high,Resolved,Web Form,Australia,Enterprise,16,3,53.14,113.4,No,No,6,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
49241,Cloud Storage,Account Suspension,account_access,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,High,high,Open,Phone,Asia,Basic,8,5,63.2,237.12,Yes,No,9,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
199214,CRM Platform,Subscription Cancellation,account_access,Two-factor authentication codes are not being delivered to my phone.,Bug logged internally and workaround shared with the customer.,Urgent,urgent,Pending Customer,Web Form,Asia,Enterprise,19,4,20.01,238.39,Yes,No,3,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
39008,Payment Gateway,Data Sync Issue,account_access,I am unable to access my account after entering the correct credentials.,Data synchronization restored after backend service restart.,High,high,Open,Email,South America,Enterprise,7,1,21.0,167.81,Yes,No,9,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
